Starting run_simulation!(), time is 2026-04-07 02:23:37
New WL phase 1 epoch!, now at 0.5 and the time is 2026-04-07 02:25:28
New WL phase 1 epoch!, now at 0.25 and the time is 2026-04-07 02:28:02
New WL phase 1 epoch!, now at 0.125 and the time is 2026-04-07 02:31:03
New WL phase 1 epoch!, now at 0.0625 and the time is 2026-04-07 02:32:49
New WL phase 1 epoch!, now at 0.03125 and the time is 2026-04-07 02:37:25
New WL phase 1 epoch!, now at 0.015625 and the time is 2026-04-07 02:44:10
New WL phase 1 epoch!, now at 0.0078125 and the time is 2026-04-07 02:51:58
New WL phase 1 epoch!, now at 0.00390625 and the time is 2026-04-07 02:57:30
New WL phase 1 epoch!, now at 0.001953125 and the time is 2026-04-07 03:03:49
New WL phase 1 epoch!, now at 0.0009765625 and the time is 2026-04-07 03:36:51
New WL phase 1 epoch!, now at 0.00048828125 and the time is 2026-04-07 03:46:17
New WL phase 1 epoch!, now at 0.000244140625 and the time is 2026-04-07 04:23:06
New WL phase 1 epoch!, now at 0.0001220703125 and the time is 2026-04-07 05:17:23
New WL phase 1 epoch!, now at 6.103515625e-5 and the time is 2026-04-07 06:48:54
New WL phase 1 epoch!, now at 3.0517578125e-5 and the time is 2026-04-07 08:22:49
New WL phase 1 epoch!, now at 1.52587890625e-5 and the time is 2026-04-07 09:22:10
New WL phase 1 epoch!, now at 7.62939453125e-6 and the time is 2026-04-07 10:03:28
